Image_Key,Filename,Rating,Chainage,Latitude,Longitude
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.200 1.JPG,N04D226C    0.200 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.205 1.JPG,N04D226C    0.205 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.210 1.JPG,N04D226C    0.210 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.215 1.JPG,N04D226C    0.215 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.220 1.JPG,N04D226C    0.220 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.225 1.JPG,N04D226C    0.225 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.230 1.JPG,N04D226C    0.230 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.235 1.JPG,N04D226C    0.235 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.240 1.JPG,N04D226C    0.240 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.245 1.JPG,N04D226C    0.245 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.250 1.JPG,N04D226C    0.250 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.255 1.JPG,N04D226C    0.255 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.260 1.JPG,N04D226C    0.260 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.265 1.JPG,N04D226C    0.265 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.270 1.JPG,N04D226C    0.270 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.275 1.JPG,N04D226C    0.275 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.280 1.JPG,N04D226C    0.280 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.285 1.JPG,N04D226C    0.285 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.290 1.JPG,N04D226C    0.290 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.295 1.JPG,N04D226C    0.295 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.300 1.JPG,N04D226C    0.300 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.305 1.JPG,N04D226C    0.305 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.310 1.JPG,N04D226C    0.310 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.315 1.JPG,N04D226C    0.315 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.320 1.JPG,N04D226C    0.320 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.325 1.JPG,N04D226C    0.325 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.330 1.JPG,N04D226C    0.330 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.335 1.JPG,N04D226C    0.335 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.340 1.JPG,N04D226C    0.340 1.JPG,1,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.345 1.JPG,N04D226C    0.345 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.350 1.JPG,N04D226C    0.350 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.355 1.JPG,N04D226C    0.355 1.JPG,3,,,
